#noutput  nstep     sim_time        sim_dt          
#         9         99   1.00000000e-01   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   1.32116540e-15
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   5.72875081e-15
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   2.63455924e-14
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   1.17050813e-13
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   4.99444930e-13
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   2.05070405e-12
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   8.10300715e-12
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   3.08154613e-11
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   1.12789200e-10
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   3.97316324e-10
        10   1.05000000e-01   9.99999999e-01   9.99999998e-01   1.34697476e-09
        11   1.15000000e-01   9.99999996e-01   9.99999995e-01   4.39453328e-09
        12   1.25000000e-01   9.99999988e-01   9.99999984e-01   1.37963563e-08
        13   1.35000000e-01   9.99999965e-01   9.99999951e-01   4.16749216e-08
        14   1.45000000e-01   9.99999898e-01   9.99999856e-01   1.21114695e-07
        15   1.55000000e-01   9.99999717e-01   9.99999594e-01   3.38591692e-07
        16   1.65000000e-01   9.99999242e-01   9.99998902e-01   9.10441663e-07
        17   1.75000000e-01   9.99998051e-01   9.99997142e-01   2.35427391e-06
        18   1.85000000e-01   9.99995180e-01   9.99992848e-01   5.85353303e-06
        19   1.95000000e-01   9.99988537e-01   9.99982797e-01   1.39913075e-05
        20   2.05000000e-01   9.99973795e-01   9.99960228e-01   3.21438879e-05
        21   2.15000000e-01   9.99942420e-01   9.99911648e-01   7.09676284e-05
        22   2.25000000e-01   9.99878411e-01   9.99811441e-01   1.50547119e-04
        23   2.35000000e-01   9.99753281e-01   9.99613458e-01   3.06816200e-04
        24   2.45000000e-01   9.99518963e-01   9.99238937e-01   6.00687157e-04
        25   2.55000000e-01   9.99098753e-01   9.98560851e-01   1.12978821e-03
        26   2.65000000e-01   9.98377139e-01   9.97386055e-01   2.04175562e-03
        27   2.75000000e-01   9.97190353e-01   9.95438412e-01   3.54680318e-03
        28   2.85000000e-01   9.95320305e-01   9.92347734e-01   5.92623784e-03
