#noutput  nstep     sim_time        sim_dt          
#         0          9   1.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
        80   8.05000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        81   8.15000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        82   8.25000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        83   8.35000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        84   8.45000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        85   8.55000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        86   8.65000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        87   8.75000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        88   8.85000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        89   8.95000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        90   9.05000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        91   9.15000000e-01   1.00000000e-01   1.00000000e-01   0.00000000e+00
        92   9.25000000e-01   9.99999935e-02   9.99999465e-02   2.67136739e-07
        93   9.35000000e-01   9.99999265e-02   9.99982476e-02   7.42863526e-06
        94   9.45000000e-01   1.00001370e-01   9.99751504e-02   8.47251784e-05
        95   9.55000000e-01   1.00033566e-01   9.97981096e-02   4.79307820e-04
        96   9.65000000e-01   1.00323928e-01   9.89864916e-02   1.73136238e-03
        97   9.75000000e-01   1.01834108e-01   9.66196861e-02   1.77031291e-03
        98   9.85000000e-01   1.07236033e-01   9.55554244e-02   8.06018887e-03
        99   9.95000000e-01   1.28279488e-01   9.42553473e-02  -2.69464239e-04
