#noutput  nstep     sim_time        sim_dt          
#         8         89   9.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   8.88178420e-17
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   6.43929354e-16
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   3.06421555e-15
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   1.47770685e-14
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   6.86006807e-14
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   3.04922754e-13
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   1.30030431e-12
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   5.32067723e-12
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   2.08978390e-11
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   7.87985566e-11
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   2.85280155e-10
        11   1.15000000e-01   9.99999999e-01   9.99999999e-01   9.91759953e-10
        12   1.25000000e-01   9.99999997e-01   9.99999996e-01   3.31099260e-09
        13   1.35000000e-01   9.99999991e-01   9.99999987e-01   1.06157908e-08
        14   1.45000000e-01   9.99999973e-01   9.99999961e-01   3.26893372e-08
        15   1.55000000e-01   9.99999919e-01   9.99999884e-01   9.66781250e-08
        16   1.65000000e-01   9.99999772e-01   9.99999668e-01   2.74612022e-07
        17   1.75000000e-01   9.99999379e-01   9.99999091e-01   7.49158505e-07
        18   1.85000000e-01   9.99998380e-01   9.99997609e-01   1.96280785e-06
        19   1.95000000e-01   9.99995937e-01   9.99993956e-01   4.93870623e-06
        20   2.05000000e-01   9.99990217e-01   9.99985329e-01   1.19332045e-05
        21   2.15000000e-01   9.99977378e-01   9.99965807e-01   2.76875381e-05
        22   2.25000000e-01   9.99949766e-01   9.99923483e-01   6.16837576e-05
        23   2.35000000e-01   9.99892885e-01   9.99835601e-01   1.31946646e-04
        24   2.45000000e-01   9.99780672e-01   9.99660884e-01   2.70995733e-04
        25   2.55000000e-01   9.99568713e-01   9.99328409e-01   5.34421035e-04
        26   2.65000000e-01   9.99185414e-01   9.98722947e-01   1.01209770e-03
        27   2.75000000e-01   9.98521798e-01   9.97667889e-01   1.84119584e-03
        28   2.85000000e-01   9.97421544e-01   9.95908448e-01   3.21899149e-03
        29   2.95000000e-01   9.95673738e-01   9.93099485e-01   5.41242117e-03
        30   3.05000000e-01   9.93011214e-01   9.88803043e-01   8.76093676e-03
        31   3.15000000e-01   9.89116796e-01   9.82499858e-01   1.36700312e-02
        32   3.25000000e-01   9.83638221e-01   9.73616357e-01   2.05948732e-02
        33   3.35000000e-01   9.76210353e-01   9.61564655e-01   3.00161830e-02
        34   3.45000000e-01   9.66481347e-01   9.45789372e-01   4.24127267e-02
        35   3.55000000e-01   9.54138473e-01   9.25813015e-01   5.82356910e-02
        36   3.65000000e-01   9.38929711e-01   9.01272006e-01   7.78894917e-02
        37   3.75000000e-01   9.20678650e-01   8.71937714e-01   1.01721768e-01
        38   3.85000000e-01   8.99292197e-01   8.37720068e-01   1.30023239e-01
        39   3.95000000e-01   8.74762226e-01   7.98654352e-01   1.63036379e-01
        40   4.05000000e-01   8.47163415e-01   7.54874032e-01   2.00970796e-01
        41   4.15000000e-01   8.16649830e-01   7.06573824e-01   2.44022533e-01
        42   4.25000000e-01   7.83452441e-01   6.53967850e-01   2.92393993e-01
        43   4.35000000e-01   7.47878807e-01   5.97248227e-01   3.46310308e-01
        44   4.45000000e-01   7.10314562e-01   5.36550043e-01   4.06026532e-01
        45   4.55000000e-01   6.71223152e-01   4.71929630e-01   4.71818907e-01
        46   4.65000000e-01   6.31131459e-01   4.03368955e-01   5.43965348e-01
        47   4.75000000e-01   5.90573631e-01   3.30946530e-01   6.22943841e-01
        48   4.85000000e-01   5.49861186e-01   2.54479795e-01   7.10644701e-01
        49   4.95000000e-01   5.06528796e-01   1.78628308e-01   8.25597409e-01
        50   5.05000000e-01   4.43668817e-01   1.00000000e-10   1.01838455e+00
        51   5.15000000e-01   3.71885035e-01   8.72936580e-03   1.05660272e+00
        52   5.25000000e-01   3.66990237e-01   1.88777595e-02   1.13227848e+00
        53   5.35000000e-01   5.41559936e-01   4.89548168e-01   4.95535059e-01
        54   5.45000000e-01   3.53876063e-01   9.27405593e-02   1.22013511e+00
        55   5.55000000e-01   5.20852781e-01   4.07468721e-01   5.60354173e-01
        56   5.65000000e-01   3.33092702e-01   1.00000000e-10   1.18126294e+00
        57   5.75000000e-01   4.57224207e-01   5.17421364e-01   4.44932009e-01
        58   5.85000000e-01   3.17847305e-01   1.20672153e-01   9.00271852e-01
        59   5.95000000e-01   3.12716494e-01   5.52348807e-01   2.88133284e-01
        60   6.05000000e-01   2.33263721e-01   1.69566480e-01   5.63327847e-01
        61   6.15000000e-01   1.96465370e-01   4.03422278e-02   4.11532793e-01
        62   6.25000000e-01   1.74787616e-01   3.46786700e-01   5.48290594e-01
