#noutput  nstep     sim_time        sim_dt          
#         2         29   3.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        14   1.45000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        15   1.55000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        16   1.65000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        17   1.75000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        18   1.85000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        19   1.95000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        20   2.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        21   2.15000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        22   2.25000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        23   2.35000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        24   2.45000000e-01   1.00000000e+00   1.00000000e+00   6.66133815e-17
        25   2.55000000e-01   1.00000000e+00   1.00000000e+00   2.00950367e-15
        26   2.65000000e-01   1.00000000e+00   1.00000000e+00   4.00235400e-14
        27   2.75000000e-01   1.00000000e+00   1.00000000e+00   6.36590780e-13
        28   2.85000000e-01   1.00000000e+00   1.00000000e+00   8.35072012e-12
        29   2.95000000e-01   1.00000000e+00   1.00000000e+00   9.21319465e-11
        30   3.05000000e-01   9.99999999e-01   9.99999999e-01   8.67183137e-10
        31   3.15000000e-01   9.99999994e-01   9.99999992e-01   7.03974330e-09
        32   3.25000000e-01   9.99999958e-01   9.99999942e-01   4.97056983e-08
        33   3.35000000e-01   9.99999739e-01   9.99999640e-01   3.07264877e-07
        34   3.45000000e-01   9.99998580e-01   9.99998037e-01   1.67151109e-06
        35   3.55000000e-01   9.99993182e-01   9.99990545e-01   8.03406714e-06
        36   3.65000000e-01   9.99970974e-01   9.99959634e-01   3.42246668e-05
        37   3.75000000e-01   9.99890153e-01   9.99846875e-01   1.29528078e-04
        38   3.85000000e-01   9.99629589e-01   9.99482952e-01   4.36364024e-04
        39   3.95000000e-01   9.98884479e-01   9.98443335e-01   1.31091496e-03
        40   4.05000000e-01   9.96991448e-01   9.95813383e-01   3.51952272e-03
        41   4.15000000e-01   9.92706665e-01   9.89914051e-01   8.47201334e-03
        42   4.25000000e-01   9.84026109e-01   9.78143853e-01   1.83772755e-02
        43   4.35000000e-01   9.68177351e-01   9.57139049e-01   3.61870244e-02
        44   4.45000000e-01   9.41876714e-01   9.23340041e-01   6.53002804e-02
        45   4.55000000e-01   9.01872084e-01   8.73834559e-01   1.09159566e-01
        46   4.65000000e-01   8.45762557e-01   8.07223673e-01   1.70896275e-01
        47   4.75000000e-01   7.73030964e-01   7.24285147e-01   2.52990708e-01
        48   4.85000000e-01   6.85908355e-01   6.28181886e-01   3.56589984e-01
        49   4.95000000e-01   5.89105370e-01   5.23443926e-01   4.79720454e-01
        50   5.05000000e-01   4.86991678e-01   4.10213386e-01   6.11066905e-01
        51   5.15000000e-01   3.84867032e-01   2.67480828e-01   8.58169989e-01
        52   5.25000000e-01   3.10309636e-01   2.12535850e-01   8.85915285e-01
        53   5.35000000e-01   2.64521852e-01   2.30394498e-01   7.87513259e-01
        54   5.45000000e-01   2.13117844e-01   2.28257473e-01   7.02578584e-01
        55   5.55000000e-01   1.72826054e-01   2.24682624e-01   6.08559463e-01
        56   5.65000000e-01   1.46063859e-01   2.14807352e-01   5.10191670e-01
        57   5.75000000e-01   1.27294399e-01   1.87467491e-01   3.87758565e-01
        58   5.85000000e-01   1.12000356e-01   1.40488097e-01   1.96790780e-01
        59   5.95000000e-01   1.03454140e-01   1.09922554e-01   5.64205042e-02
        60   6.05000000e-01   1.00666182e-01   1.00759626e-01   8.45628556e-03
        61   6.15000000e-01   1.00071615e-01   9.96272707e-02  -1.63283258e-04
        62   6.25000000e-01   9.99965659e-02   9.97986349e-02  -5.06260814e-04
        63   6.35000000e-01   9.99959196e-02   9.99439221e-02  -1.79570053e-04
