#noutput  nstep     sim_time        sim_dt          
#        10        109   1.10000000e-01   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   9.95425964e-14
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   3.73157061e-13
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   1.45594647e-12
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   5.50777202e-12
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   2.01154648e-11
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   7.09102110e-11
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   2.41264364e-10
         7   7.50000000e-02   9.99999999e-01   9.99999999e-01   7.92258881e-10
         8   8.50000000e-02   9.99999998e-01   9.99999997e-01   2.51077822e-09
         9   9.50000000e-02   9.99999994e-01   9.99999991e-01   7.67870464e-09
        10   1.05000000e-01   9.99999981e-01   9.99999973e-01   2.26605692e-08
        11   1.15000000e-01   9.99999946e-01   9.99999922e-01   6.45231818e-08
        12   1.25000000e-01   9.99999854e-01   9.99999783e-01   1.77245789e-07
        13   1.35000000e-01   9.99999614e-01   9.99999418e-01   4.69676501e-07
        14   1.45000000e-01   9.99999021e-01   9.99998499e-01   1.20040254e-06
        15   1.55000000e-01   9.99997601e-01   9.99996265e-01   2.95867941e-06
        16   1.65000000e-01   9.99994332e-01   9.99991043e-01   7.03146346e-06
        17   1.75000000e-01   9.99987087e-01   9.99979295e-01   1.61102242e-05
        18   1.85000000e-01   9.99971635e-01   9.99953885e-01   3.55791895e-05
        19   1.95000000e-01   9.99939934e-01   9.99901044e-01   7.57289917e-05
        20   2.05000000e-01   9.99877394e-01   9.99795452e-01   1.55324670e-04
        21   2.15000000e-01   9.99758787e-01   9.99592767e-01   3.06963107e-04
        22   2.25000000e-01   9.99542617e-01   9.99219184e-01   5.84494137e-04
        23   2.35000000e-01   9.99164052e-01   9.98558185e-01   1.07236517e-03
        24   2.45000000e-01   9.98527095e-01   9.97435680e-01   1.89605636e-03
        25   2.55000000e-01   9.97497284e-01   9.95606058e-01   3.23191625e-03
        26   2.65000000e-01   9.95896835e-01   9.92742892e-01   5.31398357e-03
        27   2.75000000e-01   9.93504306e-01   9.88438443e-01   8.43520524e-03
        28   2.85000000e-01   9.90060440e-01   9.82215180e-01   1.29411680e-02
        29   2.95000000e-01   9.85280623e-01   9.73550135e-01   1.92160467e-02
        30   3.05000000e-01   9.78872866e-01   9.61909621e-01   2.76624743e-02
        31   3.15000000e-01   9.70558752e-01   9.46788934e-01   3.86787022e-02
        32   3.25000000e-01   9.60094028e-01   9.27750138e-01   5.26371146e-02
        33   3.35000000e-01   9.47285735e-01   9.04451471e-01   6.98676824e-02
        34   3.45000000e-01   9.32003748e-01   8.76663933e-01   9.06486097e-02
        35   3.55000000e-01   9.14186056e-01   8.44273383e-01   1.15204797e-01
        36   3.65000000e-01   8.93838425e-01   8.07269121e-01   1.43713297e-01
        37   3.75000000e-01   8.71030132e-01   7.65721926e-01   1.76313940e-01
        38   3.85000000e-01   8.45887882e-01   7.19755733e-01   2.13122648e-01
        39   3.95000000e-01   8.18590033e-01   6.69517851e-01   2.54244511e-01
        40   4.05000000e-01   7.89362843e-01   6.15153145e-01   2.99783098e-01
        41   4.15000000e-01   7.58479809e-01   5.56788363e-01   3.49841629e-01
        42   4.25000000e-01   7.26264574e-01   4.94534610e-01   4.04510928e-01
        43   4.35000000e-01   6.93098342e-01   4.28532299e-01   4.63842050e-01
        44   4.45000000e-01   6.59432348e-01   3.59176563e-01   5.27850052e-01
        45   4.55000000e-01   6.25787380e-01   2.88118930e-01   5.97195966e-01
        46   4.65000000e-01   5.92238743e-01   2.14194266e-01   6.68438934e-01
        47   4.75000000e-01   5.60508139e-01   1.64950001e-01   7.49025126e-01
        48   4.85000000e-01   4.99541271e-01   1.00000000e-10   9.04692964e-01
        49   4.95000000e-01   4.20776196e-01   1.00000000e-10   1.05006898e+00
        50   5.05000000e-01   3.94957783e-01   1.00000000e-10   1.12242542e+00
        51   5.15000000e-01   5.71464537e-01   1.73129631e+00   1.30340110e-01
        52   5.25000000e-01   4.49189871e-01   1.83905047e-01   7.20228686e-01
        53   5.35000000e-01   3.00795724e-01   1.00000000e-10   1.13917170e+00
        54   5.45000000e-01   4.34942222e-01   2.39839952e+00  -1.69032496e-01
        55   5.55000000e-01   2.81110355e-01   1.00000000e-10   1.63080101e+00
        56   5.65000000e-01   4.72769018e-01   2.86694683e+00  -8.64338264e-02
        57   5.75000000e-01   2.92511283e-01   1.00000000e-10   1.82034721e+00
        58   5.85000000e-01   4.98472818e-01   2.72081480e+00   1.26974572e-01
        59   5.95000000e-01   3.07996192e-01   1.00000000e-10   1.91599335e+00
        60   6.05000000e-01   4.83268110e-01   2.55445412e+00   2.53172843e-01
        61   6.15000000e-01   3.57559939e-01   8.97526378e-01   8.02090058e-01
        62   6.25000000e-01   3.28538781e-01   2.77839229e+00  -4.63282418e-02
        63   6.35000000e-01   2.53952684e-01   4.29623520e-01   1.02402868e+00
        64   6.45000000e-01   1.95778088e-01   2.34772425e-01   1.06473601e+00
        65   6.55000000e-01   1.58702335e-01   1.00000000e-10   1.42852175e+00
        66   6.65000000e-01   1.64100611e-01   3.04443600e+00  -2.64419867e+00
        67   6.75000000e-01   1.42522502e-01   3.07836324e+00  -8.94282646e-01
        68   6.85000000e-01   1.38677026e-01   2.47856437e+00   5.41529558e-01
        69   6.95000000e-01   1.28924848e-01   5.62039282e-01   1.09298860e+00
        70   7.05000000e-01   1.08651619e-01   1.00000000e-10   1.32567101e+00
        71   7.15000000e-01   1.08888924e-01   1.00000000e-10   1.64968577e+00
        72   7.25000000e-01   8.00686367e-02   1.00000000e-10   1.61602118e+00
        73   7.35000000e-01   1.32395797e-01   4.15830690e+00  -4.66479014e+00
        74   7.45000000e-01   1.24390798e-01   8.67775417e+00  -1.01084029e-01
