#noutput  nstep     sim_time        sim_dt          
#         4         49   5.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        14   1.45000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        15   1.55000000e-01   1.00000000e+00   1.00000000e+00   2.22044605e-16
        16   1.65000000e-01   1.00000000e+00   1.00000000e+00   1.86517468e-15
        17   1.75000000e-01   1.00000000e+00   1.00000000e+00   1.63313807e-14
        18   1.85000000e-01   1.00000000e+00   1.00000000e+00   1.28397293e-13
        19   1.95000000e-01   1.00000000e+00   1.00000000e+00   9.30733268e-13
        20   2.05000000e-01   1.00000000e+00   1.00000000e+00   6.21801499e-12
        21   2.15000000e-01   1.00000000e+00   1.00000000e+00   3.83572507e-11
        22   2.25000000e-01   1.00000000e+00   1.00000000e+00   2.18869223e-10
        23   2.35000000e-01   9.99999999e-01   9.99999999e-01   1.15700871e-09
        24   2.45000000e-01   9.99999995e-01   9.99999993e-01   5.67376398e-09
        25   2.55000000e-01   9.99999978e-01   9.99999970e-01   2.58385158e-08
        26   2.65000000e-01   9.99999907e-01   9.99999872e-01   1.09376820e-07
        27   2.75000000e-01   9.99999635e-01   9.99999494e-01   4.30698246e-07
        28   2.85000000e-01   9.99998665e-01   9.99998138e-01   1.57861389e-06
        29   2.95000000e-01   9.99995455e-01   9.99993626e-01   5.38817848e-06
        30   3.05000000e-01   9.99985583e-01   9.99979667e-01   1.71328843e-05
        31   3.15000000e-01   9.99957375e-01   9.99939559e-01   5.07646636e-05
        32   3.25000000e-01   9.99882521e-01   9.99832535e-01   1.40194486e-04
        33   3.35000000e-01   9.99698064e-01   9.99567445e-01   3.60939940e-04
        34   3.45000000e-01   9.99276029e-01   9.98958184e-01   8.66583027e-04
        35   3.55000000e-01   9.98379409e-01   9.97659261e-01   1.94130903e-03
        36   3.65000000e-01   9.96609695e-01   9.95090303e-01   4.06172113e-03
        37   3.75000000e-01   9.93360573e-01   9.90373778e-01   7.94978504e-03
        38   3.85000000e-01   9.87799613e-01   9.82322410e-01   1.45911381e-02
        39   3.95000000e-01   9.78897630e-01   9.69508788e-01   2.51983340e-02
        40   4.05000000e-01   9.65511114e-01   9.50423846e-01   4.11192394e-02
        41   4.15000000e-01   9.46504071e-01   9.23693800e-01   6.37159644e-02
        42   4.25000000e-01   9.20884556e-01   8.88298906e-01   9.42527010e-02
        43   4.35000000e-01   8.87934129e-01   8.43735980e-01   1.33824351e-01
        44   4.45000000e-01   8.47319048e-01   7.90084982e-01   1.83339377e-01
        45   4.55000000e-01   7.99178094e-01   7.27961765e-01   2.43553059e-01
        46   4.65000000e-01   7.44178018e-01   6.58351851e-01   3.15138998e-01
        47   4.75000000e-01   6.83519391e-01   5.82321087e-01   3.98786103e-01
        48   4.85000000e-01   6.18871246e-01   5.00589479e-01   4.95310890e-01
        49   4.95000000e-01   5.52210364e-01   4.12971879e-01   6.05887367e-01
        50   5.05000000e-01   4.85565462e-01   3.18304953e-01   7.34251659e-01
        51   5.15000000e-01   4.18665115e-01   1.84107826e-01   9.10376225e-01
        52   5.25000000e-01   3.60873942e-01   1.08385206e-01   1.03294265e+00
        53   5.35000000e-01   3.81082535e-01   3.06486829e-01   7.13944845e-01
        54   5.45000000e-01   3.07953413e-01   1.93695072e-01   8.37305239e-01
        55   5.55000000e-01   2.76416577e-01   2.57457788e-01   7.09005978e-01
        56   5.65000000e-01   2.31910992e-01   2.44919148e-01   6.85116958e-01
        57   5.75000000e-01   1.96768187e-01   2.55078746e-01   6.27239784e-01
        58   5.85000000e-01   1.68838370e-01   2.56541445e-01   5.78392503e-01
        59   5.95000000e-01   1.47975142e-01   2.48216397e-01   5.15379865e-01
        60   6.05000000e-01   1.31895138e-01   2.36498289e-01   4.34520923e-01
        61   6.15000000e-01   1.21982658e-01   2.41067341e-01   3.96322530e-01
        62   6.25000000e-01   1.17042524e-01   2.56631383e-01   3.99232138e-01
        63   6.35000000e-01   1.13889673e-01   2.61339521e-01   3.93943634e-01
        64   6.45000000e-01   1.10373159e-01   2.28730366e-01   3.27792741e-01
