#noutput  nstep     sim_time        sim_dt          
#         3         39   4.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        14   1.45000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        15   1.55000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        16   1.65000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        17   1.75000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        18   1.85000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        19   1.95000000e-01   1.00000000e+00   1.00000000e+00   9.99200722e-17
        20   2.05000000e-01   1.00000000e+00   1.00000000e+00   1.03250741e-15
        21   2.15000000e-01   1.00000000e+00   1.00000000e+00   1.27675648e-14
        22   2.25000000e-01   1.00000000e+00   1.00000000e+00   1.35613742e-13
        23   2.35000000e-01   1.00000000e+00   1.00000000e+00   1.27582389e-12
        24   2.45000000e-01   1.00000000e+00   1.00000000e+00   1.07249210e-11
        25   2.55000000e-01   1.00000000e+00   1.00000000e+00   8.09944778e-11
        26   2.65000000e-01   1.00000000e+00   9.99999999e-01   5.51768476e-10
        27   2.75000000e-01   9.99999997e-01   9.99999996e-01   3.40243981e-09
        28   2.85000000e-01   9.99999984e-01   9.99999978e-01   1.90453958e-08
        29   2.95000000e-01   9.99999917e-01   9.99999886e-01   9.70005398e-08
        30   3.05000000e-01   9.99999618e-01   9.99999471e-01   4.50378069e-07
        31   3.15000000e-01   9.99998382e-01   9.99997753e-01   1.90930386e-06
        32   3.25000000e-01   9.99993740e-01   9.99991268e-01   7.39957730e-06
        33   3.35000000e-01   9.99977838e-01   9.99968948e-01   2.62419873e-05
        34   3.45000000e-01   9.99928128e-01   9.99898865e-01   8.52269797e-05
        35   3.55000000e-01   9.99786322e-01   9.99698155e-01   2.53643363e-04
        36   3.65000000e-01   9.99417136e-01   9.99173995e-01   6.92163898e-04
        37   3.75000000e-01   9.98539662e-01   9.97926087e-01   1.73337209e-03
        38   3.85000000e-01   9.96634171e-01   9.95217368e-01   3.98881430e-03
        39   3.95000000e-01   9.92846993e-01   9.89852196e-01   8.45292801e-03
        40   4.05000000e-01   9.85936881e-01   9.80134626e-01   1.65516577e-02
        41   4.15000000e-01   9.74308881e-01   9.63980429e-01   3.00885874e-02
        42   4.25000000e-01   9.56155944e-01   9.39203404e-01   5.10857472e-02
        43   4.35000000e-01   9.29690630e-01   9.03914218e-01   8.15730854e-02
        44   4.45000000e-01   8.93429895e-01   8.56915846e-01   1.23403625e-01
        45   4.55000000e-01   8.46500036e-01   7.97983165e-01   1.78143411e-01
        46   4.65000000e-01   7.88923972e-01   7.27946447e-01   2.47032140e-01
        47   4.75000000e-01   7.21812018e-01   6.48509320e-01   3.30967659e-01
        48   4.85000000e-01   6.47325530e-01   5.61683375e-01   4.30436167e-01
        49   4.95000000e-01   5.68278824e-01   4.68520189e-01   5.45111847e-01
        50   5.05000000e-01   4.87281190e-01   3.66276862e-01   6.71695586e-01
        51   5.15000000e-01   4.04990764e-01   2.36603545e-01   8.74597066e-01
        52   5.25000000e-01   3.45180983e-01   1.74860852e-01   9.51228380e-01
        53   5.35000000e-01   3.22547293e-01   2.46834303e-01   8.00230909e-01
        54   5.45000000e-01   2.70373421e-01   2.30923199e-01   7.74718928e-01
        55   5.55000000e-01   2.26782988e-01   2.39706199e-01   7.03130557e-01
        56   5.65000000e-01   1.87977939e-01   2.38487760e-01   6.31957198e-01
        57   5.75000000e-01   1.58339177e-01   2.34909507e-01   5.51151233e-01
        58   5.85000000e-01   1.38494455e-01   2.35569483e-01   4.86911630e-01
        59   5.95000000e-01   1.26475379e-01   2.33855054e-01   4.35912443e-01
        60   6.05000000e-01   1.17857945e-01   2.13463898e-01   3.62332001e-01
        61   6.15000000e-01   1.09597353e-01   1.67485888e-01   2.25630461e-01
        62   6.25000000e-01   1.03572114e-01   1.25637679e-01   8.97886286e-02
        63   6.35000000e-01   1.00917451e-01   1.06075211e-01   2.28150050e-02
        64   6.45000000e-01   1.00145886e-01   1.00566652e-01   2.90334213e-03
