#noutput  nstep     sim_time        sim_dt          
#         5         59   6.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   1.77635684e-16
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   1.49880108e-15
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   1.06248343e-14
        14   1.45000000e-01   1.00000000e+00   1.00000000e+00   7.03437308e-14
        15   1.55000000e-01   1.00000000e+00   1.00000000e+00   4.34419167e-13
        16   1.65000000e-01   1.00000000e+00   1.00000000e+00   2.51537680e-12
        17   1.75000000e-01   1.00000000e+00   1.00000000e+00   1.36583744e-11
        18   1.85000000e-01   1.00000000e+00   1.00000000e+00   6.96170566e-11
        19   1.95000000e-01   1.00000000e+00   1.00000000e+00   3.33356054e-10
        20   2.05000000e-01   9.99999999e-01   9.99999998e-01   1.50065932e-09
        21   2.15000000e-01   9.99999995e-01   9.99999993e-01   6.35473990e-09
        22   2.25000000e-01   9.99999978e-01   9.99999970e-01   2.53264953e-08
        23   2.35000000e-01   9.99999919e-01   9.99999888e-01   9.50376081e-08
        24   2.45000000e-01   9.99999716e-01   9.99999604e-01   3.35896386e-07
        25   2.55000000e-01   9.99999057e-01   9.99998677e-01   1.11845576e-06
        26   2.65000000e-01   9.99997050e-01   9.99995833e-01   3.50930470e-06
        27   2.75000000e-01   9.99991301e-01   9.99987635e-01   1.03769987e-05
        28   2.85000000e-01   9.99975819e-01   9.99965417e-01   2.89207651e-05
        29   2.95000000e-01   9.99936641e-01   9.99908825e-01   7.59732502e-05
        30   3.05000000e-01   9.99843485e-01   9.99773419e-01   1.88126020e-04
        31   3.15000000e-01   9.99635435e-01   9.99469194e-01   4.39154299e-04
        32   3.25000000e-01   9.99199066e-01   9.98827612e-01   9.66624574e-04
        33   3.35000000e-01   9.98339509e-01   9.97557886e-01   2.00704403e-03
        34   3.45000000e-01   9.96748753e-01   9.95199583e-01   3.93414300e-03
        35   3.55000000e-01   9.93980232e-01   9.91086470e-01   7.28927221e-03
        36   3.65000000e-01   9.89441572e-01   9.84341618e-01   1.27899424e-02
        37   3.75000000e-01   9.82415365e-01   9.73920579e-01   2.13060545e-02
        38   3.85000000e-01   9.72110041e-01   9.58705925e-01   3.38039070e-02
        39   3.95000000e-01   9.57732750e-01   9.37637624e-01   5.12708357e-02
        40   4.05000000e-01   9.38569326e-01   9.09849319e-01   7.46410758e-02
        41   4.15000000e-01   9.14056735e-01   8.74777737e-01   1.04742180e-01
        42   4.25000000e-01   8.83839680e-01   8.32220913e-01   1.42273244e-01
        43   4.35000000e-01   8.47810457e-01   7.82334171e-01   1.87816798e-01
        44   4.45000000e-01   8.06135405e-01   7.25564374e-01   2.41879779e-01
        45   4.55000000e-01   7.59270791e-01   6.62529619e-01   3.04956657e-01
        46   4.65000000e-01   7.07966745e-01   5.93853848e-01   3.77608657e-01
        47   4.75000000e-01   6.53249781e-01   5.19965259e-01   4.60561124e-01
        48   4.85000000e-01   5.96353815e-01   4.40859244e-01   5.54884845e-01
        49   4.95000000e-01   5.38510769e-01   3.55759180e-01   6.62767332e-01
        50   5.05000000e-01   4.80669239e-01   2.62613300e-01   7.92393777e-01
        51   5.15000000e-01   4.15792729e-01   1.15263008e-01   9.85639516e-01
        52   5.25000000e-01   3.60741659e-01   1.89959848e-02   1.14322772e+00
        53   5.35000000e-01   4.57308262e-01   4.13034973e-01   5.79141394e-01
        54   5.45000000e-01   3.31664691e-01   8.59233281e-02   9.84625862e-01
        55   5.55000000e-01   3.35828944e-01   3.53622947e-01   5.89014331e-01
        56   5.65000000e-01   2.66281671e-01   1.98092253e-01   7.54164167e-01
        57   5.75000000e-01   2.36569749e-01   2.74721568e-01   6.18164363e-01
        58   5.85000000e-01   1.99927235e-01   2.49754234e-01   6.17004079e-01
        59   5.95000000e-01   1.73525504e-01   2.59563384e-01   5.53380896e-01
        60   6.05000000e-01   1.52949452e-01   2.65755089e-01   5.23225415e-01
        61   6.15000000e-01   1.39576516e-01   2.77968934e-01   5.05722240e-01
        62   6.25000000e-01   1.29475014e-01   2.67959969e-01   4.66178596e-01
        63   6.35000000e-01   1.20038148e-01   2.32723522e-01   3.65007932e-01
        64   6.45000000e-01   1.13152603e-01   2.15427170e-01   2.91270276e-01
