#noutput  nstep     sim_time        sim_dt          
#        11        119   1.20000000e-01   1.00000000e-03
#i        x1                          rho             prs             vx1
        80   8.05000000e-01   1.56604074e-01   3.41315182e+00   3.75005266e+00
        81   8.15000000e-01   1.04182329e-01   2.03806287e-01  -4.31835505e-01
        82   8.25000000e-01   1.00686946e-01   2.09826721e-02  -2.98002455e-01
        83   8.35000000e-01   1.06057237e-01   4.95212064e-01   7.83931008e-02
        84   8.45000000e-01   1.13148854e-01   1.07022086e+00   5.21129744e-01
        85   8.55000000e-01   1.16409427e-01   1.20283944e+00   6.68865977e-01
        86   8.65000000e-01   1.22170526e-01   1.77423859e+00   1.02975850e+00
        87   8.75000000e-01   1.35025563e-01   3.80068606e+00   2.49315910e+00
        88   8.85000000e-01   1.75940106e-01   3.36676551e+00   4.24276770e+00
        89   8.95000000e-01   9.21019448e-02   1.00000000e-10  -1.11757643e+00
        90   9.05000000e-01   9.76814134e-02   7.01436827e-01  -7.31232765e-01
        91   9.15000000e-01   1.03889761e-01   1.79894242e+00   9.88504378e-01
        92   9.25000000e-01   1.23483175e-01   3.46858090e+00   2.68894968e+00
        93   9.35000000e-01   1.04897858e-01   6.52467974e-01   8.60764184e-01
        94   9.45000000e-01   8.26635699e-02   1.00000000e-10  -5.35097221e-01
        95   9.55000000e-01   9.42557656e-02   1.20805706e-01   2.45010157e-02
        96   9.65000000e-01   8.95593179e-02   1.00000000e-10  -3.16322132e-01
        97   9.75000000e-01   8.95071832e-02   1.00000000e-10   1.36126186e-01
        98   9.85000000e-01   1.12986906e-01   2.03472538e+00   2.27804591e+00
        99   9.95000000e-01   1.23162222e-01   1.32179176e+00   2.66366687e+00
