#noutput  nstep     sim_time        sim_dt          
#         6         69   7.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   1.11022302e-16
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   6.77236045e-16
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   4.90718577e-15
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   2.87214696e-14
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   1.59317004e-13
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   8.36397618e-13
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   4.16012780e-12
        14   1.45000000e-01   1.00000000e+00   1.00000000e+00   1.96123784e-11
        15   1.55000000e-01   1.00000000e+00   1.00000000e+00   8.76814288e-11
        16   1.65000000e-01   1.00000000e+00   1.00000000e+00   3.71899600e-10
        17   1.75000000e-01   9.99999999e-01   9.99999998e-01   1.49705835e-09
        18   1.85000000e-01   9.99999995e-01   9.99999993e-01   5.72108060e-09
        19   1.95000000e-01   9.99999982e-01   9.99999976e-01   2.07611871e-08
        20   2.05000000e-01   9.99999940e-01   9.99999916e-01   7.15563258e-08
        21   2.15000000e-01   9.99999803e-01   9.99999722e-01   2.34278572e-07
        22   2.25000000e-01   9.99999388e-01   9.99999133e-01   7.28709096e-07
        23   2.35000000e-01   9.99998197e-01   9.99997429e-01   2.15349733e-06
        24   2.45000000e-01   9.99994954e-01   9.99992754e-01   6.04671335e-06
        25   2.55000000e-01   9.99986577e-01   9.99980594e-01   1.61318141e-05
        26   2.65000000e-01   9.99966075e-01   9.99950620e-01   4.08913225e-05
        27   2.75000000e-01   9.99918527e-01   9.99880618e-01   9.84818824e-05
        28   2.85000000e-01   9.99814071e-01   9.99725779e-01   2.25351258e-04
        29   2.95000000e-01   9.99596759e-01   9.99401536e-01   4.89968008e-04
        30   3.05000000e-01   9.99168690e-01   9.98758919e-01   1.01240387e-03
        31   3.15000000e-01   9.98370270e-01   9.97553763e-01   1.98872176e-03
        32   3.25000000e-01   9.96959766e-01   9.95414899e-01   3.71625950e-03
        33   3.35000000e-01   9.94597820e-01   9.91820818e-01   6.61289373e-03
        34   3.45000000e-01   9.90843935e-01   9.86096750e-01   1.12220514e-02
        35   3.55000000e-01   9.85170499e-01   9.77441919e-01   1.81973946e-02
        36   3.65000000e-01   9.76995608e-01   9.64989279e-01   2.82669026e-02
        37   3.75000000e-01   9.65730108e-01   9.47889491e-01   4.21832138e-02
        38   3.85000000e-01   9.50829913e-01   9.25402243e-01   6.06720013e-02
        39   3.95000000e-01   9.31843911e-01   8.96975180e-01   8.43905123e-02
        40   4.05000000e-01   9.08450688e-01   8.62294269e-01   1.13904664e-01
        41   4.15000000e-01   8.80482055e-01   8.21296908e-01   1.49687716e-01
        42   4.25000000e-01   8.47935556e-01   7.74146851e-01   1.92138969e-01
        43   4.35000000e-01   8.10980153e-01   7.21175694e-01   2.41618324e-01
        44   4.45000000e-01   7.69958775e-01   6.62798661e-01   2.98491583e-01
        45   4.55000000e-01   7.25388631e-01   5.99412689e-01   3.63182086e-01
        46   4.65000000e-01   6.77956127e-01   5.31281551e-01   4.36228192e-01
        47   4.75000000e-01   6.28498955e-01   4.58412617e-01   5.18359839e-01
        48   4.85000000e-01   5.77932187e-01   3.80504173e-01   6.10714488e-01
        49   4.95000000e-01   5.26896017e-01   2.97067013e-01   7.16250745e-01
        50   5.05000000e-01   4.74933360e-01   2.07570730e-01   8.46316588e-01
        51   5.15000000e-01   3.89320383e-01   1.00000000e-10   1.14237581e+00
        52   5.25000000e-01   3.65983623e-01   3.59921735e-02   1.12571819e+00
        53   5.35000000e-01   5.13704765e-01   4.34395862e-01   5.47523418e-01
        54   5.45000000e-01   3.33142731e-01   2.47378466e-02   1.15926096e+00
        55   5.55000000e-01   4.28562755e-01   4.42471801e-01   4.79837382e-01
        56   5.65000000e-01   2.93709776e-01   3.53884347e-02   9.59117549e-01
        57   5.75000000e-01   2.93738223e-01   4.43529348e-01   3.82429582e-01
        58   5.85000000e-01   2.26795170e-01   1.52089911e-01   7.13101688e-01
        59   5.95000000e-01   2.04767083e-01   3.07025146e-01   5.07193250e-01
        60   6.05000000e-01   1.75388700e-01   2.40519009e-01   5.75226231e-01
        61   6.15000000e-01   1.58197713e-01   2.71216282e-01   4.99982520e-01
        62   6.25000000e-01   1.41184477e-01   2.41933085e-01   4.44526000e-01
        63   6.35000000e-01   1.29676037e-01   2.48881913e-01   3.93715557e-01
        64   6.45000000e-01   1.23777924e-01   2.84369722e-01   4.30052716e-01
