#noutput  nstep     sim_time        sim_dt          
#         1         19   2.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        14   1.45000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        15   1.55000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        16   1.65000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        17   1.75000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        18   1.85000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        19   1.95000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        20   2.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        21   2.15000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        22   2.25000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        23   2.35000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        24   2.45000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        25   2.55000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        26   2.65000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        27   2.75000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        28   2.85000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        29   2.95000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        30   3.05000000e-01   1.00000000e+00   1.00000000e+00   0.00000000e+00
        31   3.15000000e-01   1.00000000e+00   1.00000000e+00   5.63993297e-15
        32   3.25000000e-01   1.00000000e+00   1.00000000e+00   4.21840340e-13
        33   3.35000000e-01   1.00000000e+00   1.00000000e+00   1.49738444e-11
        34   3.45000000e-01   1.00000000e+00   1.00000000e+00   3.36476513e-10
        35   3.55000000e-01   9.99999995e-01   9.99999994e-01   5.37123704e-09
        36   3.65000000e-01   9.99999945e-01   9.99999924e-01   6.47921374e-08
        37   3.75000000e-01   9.99999478e-01   9.99999281e-01   6.13369993e-07
        38   3.85000000e-01   9.99996022e-01   9.99994516e-01   4.67184669e-06
        39   3.95000000e-01   9.99975170e-01   9.99965761e-01   2.91230035e-05
        40   4.05000000e-01   9.99871398e-01   9.99822921e-01   1.50372344e-04
        41   4.15000000e-01   9.99441966e-01   9.99234841e-01   6.48687236e-04
        42   4.25000000e-01   9.97954572e-01   9.97219178e-01   2.35400432e-03
        43   4.35000000e-01   9.93614397e-01   9.91445050e-01   7.23550524e-03
        44   4.45000000e-01   9.82854982e-01   9.77540411e-01   1.90101888e-02
        45   4.55000000e-01   9.59926916e-01   9.49103272e-01   4.32653629e-02
        46   4.65000000e-01   9.17316602e-01   8.98922599e-01   8.68397390e-02
        47   4.75000000e-01   8.47379836e-01   8.21000192e-01   1.56956383e-01
        48   4.85000000e-01   7.45901622e-01   7.12738980e-01   2.60552008e-01
        49   4.95000000e-01   6.18537828e-01   5.78988322e-01   4.01513516e-01
        50   5.05000000e-01   4.83768765e-01   4.39546105e-01   5.66408145e-01
        51   5.15000000e-01   3.35628566e-01   2.63349018e-01   8.20532759e-01
        52   5.25000000e-01   2.47003878e-01   2.19992920e-01   7.89464559e-01
        53   5.35000000e-01   1.91842319e-01   2.09015118e-01   6.62560829e-01
        54   5.45000000e-01   1.51591862e-01   1.83875401e-01   5.04569659e-01
        55   5.55000000e-01   1.21070164e-01   1.36496158e-01   2.55084233e-01
        56   5.65000000e-01   1.05311058e-01   1.07293005e-01   6.49935465e-02
        57   5.75000000e-01   1.00898240e-01   1.00415063e-01   8.94974797e-03
        58   5.85000000e-01   1.00106460e-01   9.98694889e-02   4.98074636e-04
        59   5.95000000e-01   1.00007878e-01   9.99541073e-02  -6.63233633e-05
        60   6.05000000e-01   1.00000141e-01   9.99924092e-02  -2.25065730e-05
        61   6.15000000e-01   9.99999490e-02   9.99991231e-02  -3.21626348e-06
        62   6.25000000e-01   9.99999919e-02   9.99999271e-02  -3.06568646e-07
        63   6.35000000e-01   9.99999993e-02   9.99999955e-02  -2.09125740e-08
